timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772359200000,78395.82500000,5204072766.32536800,BTCUSDT
1772362800000,78344.08400000,5204661998.77438900,BTCUSDT
1772366400000,78511.57700000,5216296538.10541400,BTCUSDT
1772370000000,78656.68800000,5212669394.66207200,BTCUSDT
1772373600000,78272.77700000,5236840145.18500000,BTCUSDT
1772377200000,79100.98100000,5287790364.09708200,BTCUSDT
1772380800000,79254.99600000,5293966018.03853000,BTCUSDT
1772384400000,79091.62600000,5228921396.43720000,BTCUSDT
1772388000000,79157.44000000,5220781460.73600000,BTCUSDT
1772391600000,78635.40800000,5212623976.56889250,BTCUSDT
1772395200000,78972.91300000,5206763286.09314300,BTCUSDT
1772398800000,78414.09800000,5117018570.09245100,BTCUSDT
1772402400000,78274.66700000,5137295733.32036100,BTCUSDT
1772406000000,77909.68300000,5082890046.66640000,BTCUSDT
1772409600000,77832.77600000,5116796743.73840000,BTCUSDT
1772413200000,77419.31500000,5146013546.05525300,BTCUSDT
1772416800000,77086.78800000,5126271402.00000000,BTCUSDT
1772420400000,77183.22300000,5112832150.16496800,BTCUSDT
1772424000000,77595.15500000,5182139101.23674800,BTCUSDT
1772427600000,77755.04600000,5196548560.78580000,BTCUSDT
1772431200000,77787.47300000,5188510015.32030000,BTCUSDT
1772434800000,77750.51300000,5145597815.32144500,BTCUSDT
1772438400000,77453.12000000,5109435165.47200000,BTCUSDT
1772442000000,78349.69900000,5190732909.21225550,BTCUSDT
1772445600000,78758.06500000,5209065946.20201700,BTCUSDT
1772449200000,78957.18300000,5233650414.20031000,BTCUSDT
1772452800000,78915.19800000,5234232012.30540000,BTCUSDT
1772456400000,79145.62600000,5218989211.44160000,BTCUSDT
1772460000000,79221.53500000,5182839132.68323500,BTCUSDT
1772463600000,79637.53400000,5347118872.86880000,BTCUSDT
1772467200000,81474.40600000,5628986788.87078600,BTCUSDT
1772470800000,82323.88800000,5713269594.81120000,BTCUSDT
1772474400000,82934.96200000,5736955220.97541200,BTCUSDT
1772478000000,83297.42200000,5735335705.16140000,BTCUSDT
1772481600000,83129.45700000,5729980463.87880000,BTCUSDT
1772485200000,82754.75200000,5716830675.76320000,BTCUSDT
1772488800000,82607.46800000,5729822222.56088300,BTCUSDT
1772492400000,82487.86800000,5725348459.09498400,BTCUSDT
1772496000000,82214.75100000,5656522855.35180000,BTCUSDT
1772499600000,82252.96300000,5680590801.81839700,BTCUSDT
1772503200000,82286.97700000,5655139579.53420000,BTCUSDT
1772506800000,81489.73500000,5580152398.94212100,BTCUSDT
1772510400000,81586.93400000,5575685462.00008100,BTCUSDT
1772514000000,81412.11000000,5544031819.35688300,BTCUSDT
1772517600000,80999.65500000,5501788351.83587000,BTCUSDT
1772521200000,80459.91300000,5477340761.44020000,BTCUSDT
1772524800000,79835.33800000,5440131618.46220000,BTCUSDT
1772528400000,79821.83500000,5345718027.80864000,BTCUSDT
1772532000000,79497.44900000,5296480528.95402300,BTCUSDT
1772535600000,78697.12300000,5259045420.44720000,BTCUSDT
1772539200000,78575.38900000,5265770636.16768500,BTCUSDT
1772542800000,77532.79300000,5222608936.48000000,BTCUSDT
